id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,England,True,19,3482,-12.3,1.0,21.59,74.5,22.05,10.05
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,24.2,0.962,35.67,65.5,31.16,14.61
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,South Africa,False,44,3873,-27.4,1.0,14.75,76.1,15.49,7.02
121353,Malcolm Marx,South Africa,2,Hooker,8.5,24.7,P,Scotland,True,53,2091,27.4,1.0,24.79,63.2,21.52,9.78
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Argentina,False,32,2339,-28.4,1.0,26.12,73.3,25.89,11.97
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.53,80.0,25.48,11.76
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,South Africa,False,20,2907,-27.4,1.0,15.11,76.0,15.84,7.18
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.24,70.7,23.38,10.72
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.73,75.5,30.95,14.5
240624,Selestino Ravutaumada,Fiji,2,Centre,5.0,5.9,P,England,True,11,2233,-12.3,1.0,14.69,73.0,14.79,6.7
162344,Julian Montoya,Argentina,2,Hooker,7.5,9.0,P,Wales,True,60,3073,28.4,1.0,17.22,67.2,15.96,7.23
180443,Damian Willemse,South Africa,2,Back Three,5.5,8.1,P,Scotland,True,41,2695,27.4,1.0,18.64,74.0,19.03,8.62
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Ireland,True,19,2235,-29.3,0.998,20.62,69.9,19.88,9.01
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,24.2,0.962,28.33,78.6,29.78,13.91
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,France,True,21,2330,-4.9,1.0,17.47,78.8,18.98,8.6
145361,Hugo Keenan,Ireland,1,Back Three,5.5,6.3,P,Japan,False,50,2367,29.3,0.998,17.43,77.0,18.5,8.38
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Wales,True,42,2494,28.4,1.0,17.65,72.6,17.66,8.0
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,South Africa,False,40,3091,-27.4,1.0,24.0,73.3,23.93,10.99
154929,Cheslin Kolbe,South Africa,2,Back Three,8.0,37.7,P,Scotland,True,34,3380,27.4,1.0,30.22,76.0,30.65,14.35
126800,Josh van der Flier,Ireland,1,Loose Forward,6.0,9.7,P,Japan,False,59,3198,29.3,0.998,22.16,64.1,19.59,8.88
104346,Tevita Ikanivere,Fiji,2,Hooker,5.0,3.7,P,England,True,32,2226,-12.3,1.0,19.6,65.3,17.65,8.0
207343,Grant Williams,South Africa,2,Scrum Half,7.0,5.1,P,Scotland,True,29,1629,27.4,1.0,29.26,60.8,24.18,11.11
216173,Jamison Gibson-Park,Ireland,1,Scrum Half,7.0,17.1,P,Japan,False,56,3175,29.3,0.998,17.41,69.0,16.57,7.51
105748,Jack Conan,Ireland,1,Loose Forward,7.0,12.8,P,Japan,False,49,2728,29.3,0.998,21.69,71.1,21.22,9.63
109816,Rory Hutchinson,Scotland,1,Centre,4.0,1.1,P,South Africa,False,8,3342,-27.4,1.0,15.13,74.3,15.51,7.03
239638,Takuro Matsunaga,Japan,2,Back Three,3.5,1.4,P,Ireland,True,6,3040,-29.3,0.998,9.79,65.2,8.81,3.99
243815,Marko Gazzotti,France,1,Loose Forward,4.0,3.3,P,Australia,False,2,2538,4.9,1.0,18.32,80.0,20.22,9.16
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,24.2,0.962,25.9,78.9,27.5,12.78
214439,Rob Valetini,Australia,2,Loose Forward,6.5,8.0,P,France,True,62,3062,-4.9,1.0,15.21,70.4,14.77,6.69
128023,Salesi Rayasi,Fiji,2,Back Three,6.5,10.3,P,England,True,5,3122,-12.3,1.0,16.0,74.2,16.39,7.43
165007,Ellis Genge,England,1,Prop,5.5,8.9,P,Fiji,False,69,2845,12.3,1.0,15.95,56.4,12.4,5.62
133457,Antoine Hastoy,France,1,Fly Half,4.0,0.0,B,Australia,False,12,4325,4.9,1.0,15.72,10.3,2.23,6.07
178222,Jock Campbell,Australia,2,Back Three,4.0,2.7,P,France,True,8,2443,-4.9,1.0,13.53,77.8,14.51,6.58
185160,Codie Taylor,New Zealand,2,Hooker,7.5,4.3,P,Italy,True,57,1887,24.2,0.962,20.77,54.7,15.68,7.11
240621,Dylan Pietsch,Australia,2,Back Three,6.5,2.0,P,France,True,12,1690,-4.9,1.0,19.4,66.4,17.75,8.04
179604,Josua Tuisova,Fiji,2,Centre,5.5,12.4,P,England,True,21,3187,-12.3,1.0,15.84,77.3,16.88,7.65
235266,Joaquin Oviedo,Argentina,2,Loose Forward,5.5,3.1,P,Wales,True,24,2854,28.4,1.0,25.73,69.7,24.36,11.21
245055,Elia Canakaivata,Fiji,2,Loose Forward,4.0,2.2,P,England,True,21,2070,-12.3,1.0,16.51,73.7,16.78,7.6
172351,Stuart McCloskey,Ireland,1,Centre,6.5,13.4,P,Japan,False,26,2874,29.3,0.998,22.95,70.6,22.21,10.13
137626,Fin Smith,England,1,Fly Half,5.0,4.5,P,Fiji,False,23,3884,12.3,1.0,25.83,73.4,25.66,11.85
211240,Dan Sheehan,Ireland,1,Hooker,8.0,22.7,P,Japan,False,46,2564,29.3,0.998,27.98,59.5,22.76,10.41
197335,Lorenzo Cannone,Italy,1,Loose Forward,6.0,8.0,P,New Zealand,False,39,2719,-24.2,0.962,19.28,70.0,18.63,8.44
137453,Josh Adams,Wales,1,Back Three,4.5,7.0,P,Argentina,False,47,2261,-28.4,1.0,10.46,75.8,10.93,4.95
242264,Joseph-Aukuso Suaalii,Australia,2,Centre,7.5,9.0,P,France,True,18,1147,-4.9,1.0,15.29,74.3,15.67,7.1
238928,Warner Dearns,Japan,2,Lock,6.5,14.2,P,Ireland,True,33,2722,-29.3,0.998,16.77,78.3,18.11,8.2
136190,Luke Jacobson,New Zealand,2,Loose Forward,4.0,2.9,P,Italy,True,24,2773,24.2,0.962,16.34,74.6,16.82,7.62
110905,Ben-Jason Dixon,South Africa,2,Loose Forward,4.0,0.1,B,Scotland,True,8,2620,27.4,1.0,13.78,31.7,6.03,16.39
209612,Ben Earl,England,1,Loose Forward,8.0,14.0,P,Fiji,False,55,3720,12.3,1.0,21.02,74.2,21.46,9.76
137153,Jasper Wiese,South Africa,2,Loose Forward,6.5,7.1,P,Scotland,True,43,2557,27.4,1.0,22.0,62.0,18.83,8.53
130487,Nacho Brex,Italy,1,Centre,6.0,4.2,P,New Zealand,False,53,0,-24.2,0.962,10.72,75.1,11.1,5.03
240799,Josh Canham,Australia,2,Lock,4.5,3.1,P,France,True,5,1759,-4.9,1.0,15.14,58.0,12.12,5.49
