id,display_name,full_name,team_name,team_id,team_short_code,hemisphere,skill,skill_desc,value,sel_percentage,sel_cap_percentage,is_active,available_status,injury_status,player_status,cur_gd_points,min_in_game
146220,W. Jordan,Will Jordan,New Zealand,7,nzl,2,8,BACK THREE,8.5,44.4,12.8521,1,,,,50.00,3
244532,T. Attissogbe,Theo Attissogbe,France,5,fra,1,8,BACK THREE,6.5,35.8,7.8774,1,,,,44.00,3
233237,I. Feyi-Waboso,Immanuel Feyi-Waboso,England,1,eng,1,8,BACK THREE,6.5,9.2,0.3437,1,,,,85.00,3
235266,J. Oviedo,Joaquin Oviedo,Argentina,10,arg,2,3,LOOSE FORWARD,5.5,19.9,0.1814,1,,,,31.00,3
190344,M. Jalibert,Matthieu Jalibert,France,5,fra,1,6,FLY-HALF,8,33.3,7.6817,1,,,,45.00,3
104346,T. Ikanivere,Tevita Ikanivere,Fiji,243,fij,2,2,HOOKER,5,7.3,0.0764,1,,,,50.00,3
229307,C. Roigard,Cam Roigard,New Zealand,7,nzl,2,5,SCRUM-HALF,8,44.9,7.1326,1,,,,20.00,3
179379,A. Savea,Ardie Savea,New Zealand,7,nzl,2,3,LOOSE FORWARD,8.5,45.9,8.4408,1,,,,49.00,3
140494,J. Wainiqolo,Jiuta Wainiqolo,Fiji,243,fij,2,8,BACK THREE,5.5,18.7,0.6923,1,,,,13.00,3
123016,J. Morgan,Jac Morgan,Wales,3,wal,1,3,LOOSE FORWARD,7,29.9,1.3606,1,,,,22.00,3
142873,B. Gunter,Ben Gunter,Japan,103,jpn,2,3,LOOSE FORWARD,4.5,16.1,0.0668,1,,,,33.00,3
146480,S. Tuipulotu,Sione Tuipulotu,Scotland,2,sco,1,7,CENTRE,7.5,17.2,0.6779,1,,,,5.00,3
105748,J. Conan,Jack Conan,Ireland,4,ire,1,3,LOOSE FORWARD,7,13.6,0.2339,1,,,,42.00,3
180443,D. Willemse,Damian Willemse,South Africa,8,rsa,2,8,BACK THREE,5.5,12.8,0.3772,1,,,,19.00,3
237155,J. Piccardo,Justo Piccardo,Argentina,10,arg,2,7,CENTRE,5.5,4.2,0.0334,1,,,,43.00,2
162344,J. Montoya,Julian Montoya,Argentina,10,arg,2,2,HOOKER,7.5,15.2,0.444,1,,,,15.00,3
240799,J. Canham,Josh Canham,Australia,9,aus,2,4,LOCK,4.5,10.3,0.0239,1,,,,63.00,3
143492,D. McKenzie,Damian McKenzie,New Zealand,7,nzl,2,6,FLY-HALF,8.5,4.6,1.2222,1,,,,61.00,3
245055,E. Canakaivata,Elia Canakaivata,Fiji,243,fij,2,3,LOOSE FORWARD,4,2.8,0,1,,,,50.00,3
137626,F. Smith,Fin Smith,England,1,eng,1,6,FLY-HALF,5,9.6,0.7304,1,,,,18.00,3
202239,T. Albornoz,Tomas Albornoz,Argentina,10,arg,2,6,FLY-HALF,7,4,0.4297,1,,,,50.00,3
250067,F. Brau-Boirie,Fabien Brau-Boirie,France,5,fra,1,7,CENTRE,6,24.2,0.3103,1,,,,18.00,3
209612,B. Earl,Ben Earl,England,1,eng,1,3,LOOSE FORWARD,8,16.8,1.0264,1,,,,45.00,3
100043,M. Lucu,Maxime Lucu,France,5,fra,1,5,SCRUM-HALF,6.5,14.7,1.5564,1,,,,44.00,3
179604,J. Tuisova,Josua Tuisova,Fiji,243,fij,2,7,CENTRE,5.5,9.5,0.148,1,,,,45.00,3
172024,J. Moorby,Josh Moorby,New Zealand,7,nzl,2,8,BACK THREE,5,2.5,0.2148,1,,,,48.00,2
121353,M. Marx,Malcolm Marx,South Africa,8,rsa,2,2,HOOKER,8.5,30.3,3.3324,1,,,,28.00,2
